Month,Day,Hour,Sensor_id,x,y,value
4,21,12,1,0,280,465.633953
4,21,12,2,0,260,685.519701
4,21,12,3,0,240,731.113149
4,21,12,4,0,220,734.20251
4,21,12,5,0,200,625.92899
4,21,12,6,0,180,551.224772
4,21,12,7,0,160,412.045112
4,21,12,8,0,140,371.620826
4,21,12,9,0,120,296.419346
4,21,12,10,0,100,247.392141
4,21,12,11,0,80,231.860669
4,21,12,12,0,60,155.9006407
4,21,12,13,0,40,151.16371
4,21,12,14,0,20,132.0485327
4,21,12,15,0,0,146.3014435
4,21,12,16,20,280,564.673937
4,21,12,17,20,260,825.576998
4,21,12,18,20,240,853.60088
4,21,12,19,20,220,829.300914
4,21,12,20,20,200,744.538507
4,21,12,21,20,180,558.291513
4,21,12,22,20,160,529.16696
4,21,12,23,20,140,403.102451
4,21,12,24,20,120,325.039298
4,21,12,25,20,100,249.770514
4,21,12,26,20,80,200.746352
4,21,12,27,20,60,207.25515
4,21,12,28,20,40,173.0889188
4,21,12,29,20,20,142.8188374
4,21,12,30,20,0,161.889748
4,21,12,31,40,280,607.761922
4,21,12,32,40,260,874.341789
4,21,12,33,40,240,944.910391
4,21,12,34,40,220,877.166767
4,21,12,35,40,200,769.438839
4,21,12,36,40,180,600.029838
4,21,12,37,40,160,508.262445
4,21,12,38,40,140,407.513548
4,21,12,39,40,120,328.341132
4,21,12,40,40,100,259.617125
4,21,12,41,40,80,207.217381
4,21,12,42,40,60,189.203716
4,21,12,43,40,40,188.780023
4,21,12,44,40,20,176.0981057
4,21,12,45,40,0,143.4825694
4,21,12,46,60,280,611.07199
4,21,12,47,60,260,897.053488
4,21,12,48,60,240,969.77188
4,21,12,49,60,220,907.866162
4,21,12,50,60,200,748.440528
4,21,12,51,60,180,637.182899
4,21,12,52,60,160,500.887108
4,21,12,53,60,140,404.428841
4,21,12,54,60,120,322.423929
4,21,12,55,60,100,260.150366
4,21,12,56,60,80,218.178983
4,21,12,57,60,60,189.344052
4,21,12,58,60,40,173.8009092
4,21,12,59,60,20,182.040673
4,21,12,60,60,0,173.3693581
4,21,12,61,80,280,604.093317
4,21,12,62,80,260,906.186963
4,21,12,63,80,240,945.834568
4,21,12,64,80,220,869.852111
4,21,12,65,80,200,788.328888
4,21,12,66,80,180,637.110941
4,21,12,67,80,160,513.082557
4,21,12,68,80,140,418.923366
4,21,12,69,80,120,333.070491
4,21,12,70,80,100,277.425835
4,21,12,71,80,80,214.120516
4,21,12,72,80,60,206.859023
4,21,12,73,80,40,191.803691
4,21,12,74,80,20,170.2337256
4,21,12,75,80,0,177.4606895
4,21,12,76,100,280,588.884761
4,21,12,77,100,260,859.767788
4,21,12,78,100,240,907.244853
4,21,12,79,100,220,846.625608
4,21,12,80,100,200,717.740417
4,21,12,81,100,180,611.648549
4,21,12,82,100,160,489.815242
4,21,12,83,100,140,390.650495
4,21,12,84,100,120,337.997287
4,21,12,85,100,100,279.256647
4,21,12,86,100,80,219.574109
4,21,12,87,100,60,196.869928
4,21,12,88,100,40,202.813265
4,21,12,89,100,20,138.4971509
4,21,12,90,100,0,134.2350177
4,21,12,91,120,280,547.307536
4,21,12,92,120,260,823.551971
4,21,12,93,120,240,827.968259
4,21,12,94,120,220,760.106495
4,21,12,95,120,200,680.102803
4,21,12,96,120,180,583.436359
4,21,12,97,120,160,468.904641
4,21,12,98,120,140,388.299867
4,21,12,99,120,120,296.526746
4,21,12,100,120,100,240.088583
4,21,12,101,120,80,196.680188
4,21,12,102,120,60,196.902864
4,21,12,103,120,40,138.2361689
4,21,12,104,120,20,173.1599102
4,21,12,105,120,0,149.8626485
4,21,12,106,140,280,452.946612
4,21,12,107,140,260,678.702307
4,21,12,108,140,240,686.917691
4,21,12,109,140,220,678.86824
4,21,12,110,140,200,566.464832
4,21,12,111,140,180,484.167076
4,21,12,112,140,160,409.223535
4,21,12,113,140,140,342.187319
4,21,12,114,140,120,291.079239
4,21,12,115,140,100,252.949375
4,21,12,116,140,80,206.794762
4,21,12,117,140,60,156.3072571
4,21,12,118,140,40,146.7176722
4,21,12,119,140,20,122.6959617
4,21,12,119,140,0,132.2441976
